anio,peaje,lat,lon,dia,ene,feb,mar,abr,may,jun,jul,ago,sep,oct,nov,dic
2020,remanso,-25.18766591723001,-57.542548860911516,4,15903,16679,16477,3463,9514,9329,10709,14122,15464,7990,14418,12918
2020,remanso,-25.18766591723001,-57.542548860911516,5,12172,16420,15998,1198,9542,9713,6311,14104,12699,14535,14909,11622
2020,remanso,-25.18766591723001,-57.542548860911516,6,16203,15800,17880,3977,9059,8867,13225,13835,7478,14526,15750,8467
2020,remanso,-25.18766591723001,-57.542548860911516,7,15967,17442,15302,3909,9249,4869,11207,14975,14458,14755,13312,15489
2020,remanso,-25.18766591723001,-57.542548860911516,8,16425,14587,10396,3076,10268,11105,11666,12179,14821,14667,7704,8778
2020,remanso,-25.18766591723001,-57.542548860911516,9,16454,10137,16114,1489,7156,11591,12724,8677,14947,15478,11599,15005
2020,remanso,-25.18766591723001,-57.542548860911516,10,16848,16169,16356,767,3558,13871,13840,13856,15156,12533,12742,15280
2020,remanso,-25.18766591723001,-57.542548860911516,11,15122,16460,15672,1974,10162,14709,10512,13809,16331,8261,13322,16595
2020,remanso,-25.18766591723001,-57.542548860911516,12,10358,16562,15866,1298,9088,8526,6831,12227,12574,14977,13712,13550
2020,remanso,-25.18766591723001,-57.542548860911516,13,15825,16536,16607,5788,11067,8749,13178,14303,7260,13938,15948,7545
2020,remanso,-25.18766591723001,-57.542548860911516,14,15741,17911,13303,6557,6320,6176,13251,16015,13052,13745,12771,14421
2020,remanso,-25.18766591723001,-57.542548860911516,15,16509,14940,7641,5932,3166,12364,12974,11171,14285,12933,5975,15089
2020,remanso,-25.18766591723001,-57.542548860911516,16,16780,9903,12890,5833,6341,12760,13180,7978,14080,15201,13274,11015
2020,remanso,-25.18766591723001,-57.542548860911516,17,18183,14837,12206,6464,3586,13682,14441,14711,14078,12585,13959,15333
2020,remanso,-25.18766591723001,-57.542548860911516,18,15166,16151,11202,4126,10886,13148,10761,14675,15272,8453,13173,16650
2020,remanso,-25.18766591723001,-57.542548860911516,19,11328,16088,10681,1787,11202,13811,7518,14510,12441,14064,13805,15108
2020,remanso,-25.18766591723001,-57.542548860911516,20,16518,15987,12017,6632,10715,10550,13239,14272,7134,13959,16072,7532
2020,remanso,-25.18766591723001,-57.542548860911516,21,16470,17384,5834,7046,10127,5317,13626,15204,14143,14307,12937,16251
2020,remanso,-25.18766591723001,-57.542548860911516,22,15412,14952,2176,7025,9603,12416,13321,11502,13908,14113,9005,17287
2020,remanso,-25.18766591723001,-57.542548860911516,23,15719,10337,6566,7288,7708,13295,13480,6269,13720,15494,14566,18639
2020,remanso,-25.18766591723001,-57.542548860911516,24,17517,16339,5912,7724,3924,12295,13762,14274,13790,12334,14658,11511
2020,remanso,-25.18766591723001,-57.542548860911516,25,14854,15764,5654,4632,10670,11667,9894,14969,15329,8239,14760,5470
2020,remanso,-25.18766591723001,-57.542548860911516,26,10611,15676,5776,2109,11437,13296,6861,14913,12224,12463,11116,9671
